Date,Open,High,Low,Close,Adj Close,Volume
2025-08-12,8625.0,8875.0,8575.0,8850.0,8423.146484375,171015700
2025-08-13,8975.0,8975.0,8725.0,8925.0,8494.5283203125,129083900
2025-08-14,8925.0,8950.0,8750.0,8775.0,8351.763671875,122930900
2025-08-15,8825.0,8850.0,8700.0,8700.0,8280.3818359375,68754200
2025-08-19,8600.0,8600.0,8450.0,8500.0,8090.02783203125,128591700
2025-08-20,8375.0,8600.0,8350.0,8525.0,8113.82177734375,202260200
2025-08-21,8550.0,8575.0,8500.0,8550.0,8137.6162109375,69470200
2025-08-22,8575.0,8575.0,8450.0,8450.0,8042.43896484375,66394100
2025-08-25,8525.0,8550.0,8475.0,8475.0,8066.2333984375,64052700
2025-08-26,8450.0,8475.0,8250.0,8250.0,7852.0859375,326794200
2025-08-27,8250.0,8350.0,8200.0,8300.0,7899.673828125,111915700
2025-08-28,8350.0,8375.0,8275.0,8325.0,7923.46826171875,81281400
2025-08-29,8250.0,8275.0,8075.0,8075.0,7685.52685546875,236499300
2025-09-01,7650.0,8050.0,7600.0,8000.0,7614.14404296875,421127500
2025-09-02,8000.0,8175.0,8000.0,8000.0,7614.14404296875,155531500
2025-09-03,7900.0,8000.0,7900.0,7975.0,7590.349609375,212372700
2025-09-04,7975.0,8000.0,7925.0,8000.0,7614.14404296875,103534800
2025-09-08,8025.0,8025.0,7700.0,7700.0,7328.61376953125,321191900
2025-09-09,7625.0,7725.0,7475.0,7525.0,7162.05419921875,595368700
2025-09-10,7550.0,7800.0,7550.0,7800.0,7423.7900390625,246849600
2025-09-11,7900.0,7975.0,7850.0,7850.0,7471.37890625,235173400
2025-09-12,7975.0,7975.0,7850.0,7925.0,7542.76123046875,156084700
2025-09-15,8000.0,8100.0,7975.0,8025.0,7637.93798828125,142567700
2025-09-16,8050.0,8075.0,7900.0,7925.0,7542.76123046875,129312900
2025-09-17,7850.0,7900.0,7800.0,7850.0,7471.37890625,183725900
2025-09-18,7850.0,7900.0,7650.0,7700.0,7328.61376953125,275378700
2025-09-19,7650.0,7825.0,7650.0,7800.0,7423.7900390625,149025300
2025-09-22,7800.0,7825.0,7725.0,7725.0,7352.4072265625,92588800
2025-09-23,7750.0,7900.0,7750.0,7875.0,7495.1728515625,102606200
2025-09-24,7950.0,7950.0,7725.0,7775.0,7399.99609375,150428400
2025-09-25,7725.0,7775.0,7700.0,7700.0,7328.61376953125,147986600
2025-09-26,7575.0,7700.0,7575.0,7625.0,7257.23095703125,121657700
2025-09-29,7750.0,7800.0,7700.0,7775.0,7399.99609375,116454700
2025-09-30,7700.0,7775.0,7625.0,7625.0,7257.23095703125,170666700
2025-10-01,7600.0,7675.0,7500.0,7500.0,7138.259765625,202433400
2025-10-02,7500.0,7600.0,7500.0,7500.0,7138.259765625,126952400
2025-10-03,7525.0,7550.0,7500.0,7525.0,7162.05419921875,76787500
2025-10-06,7500.0,7550.0,7450.0,7500.0,7138.259765625,104032400
2025-10-07,7550.0,7600.0,7500.0,7575.0,7209.64208984375,74282600
2025-10-08,7500.0,7525.0,7375.0,7375.0,7019.28857421875,168080800
2025-10-09,7375.0,7700.0,7300.0,7550.0,7185.84814453125,293567400
2025-10-10,7450.0,7450.0,7350.0,7400.0,7043.0830078125,107426000
2025-10-13,7300.0,7375.0,7300.0,7325.0,6971.70068359375,101847900
2025-10-14,7275.0,7350.0,7250.0,7250.0,6900.31787109375,151862300
2025-10-15,7250.0,7350.0,7225.0,7250.0,6900.31787109375,133206400
2025-10-16,7250.0,7325.0,7225.0,7300.0,6947.90625,120611200
2025-10-17,7300.0,7525.0,7275.0,7500.0,7138.259765625,157334400
2025-10-20,7700.0,8000.0,7625.0,7875.0,7495.1728515625,393421800
2025-10-21,8100.0,8475.0,8100.0,8475.0,8066.2333984375,529802600
2025-10-22,8700.0,8700.0,8200.0,8200.0,7804.49755859375,392957200
2025-10-23,8200.0,8350.0,8150.0,8325.0,7923.46826171875,187003900
2025-10-24,8300.0,8375.0,8275.0,8275.0,7875.8798828125,133355100
2025-10-27,8325.0,8425.0,8200.0,8350.0,7947.2626953125,182275600
2025-10-28,8350.0,8400.0,8250.0,8275.0,7875.8798828125,180270000
2025-10-29,8300.0,8600.0,8275.0,8600.0,8185.20458984375,239156800
2025-10-30,8575.0,8750.0,8475.0,8525.0,8113.82177734375,259009800
2025-10-31,8550.0,8650.0,8525.0,8525.0,8113.82177734375,177088000
2025-11-03,8650.0,8650.0,8525.0,8650.0,8232.79296875,115007100
2025-11-04,8650.0,8700.0,8625.0,8650.0,8232.79296875,155231500
2025-11-05,8625.0,8700.0,8600.0,8700.0,8280.3818359375,125731500
2025-11-06,8625.0,8675.0,8550.0,8550.0,8137.6162109375,89756900
2025-11-07,8550.0,8675.0,8550.0,8675.0,8256.5869140625,75241900
2025-11-10,8675.0,8675.0,8575.0,8575.0,8161.41064453125,79897700
2025-11-11,8575.0,8600.0,8400.0,8400.0,7994.85107421875,130897600
2025-11-12,8425.0,8550.0,8400.0,8500.0,8090.02783203125,85415600
2025-11-13,8400.0,8475.0,8375.0,8375.0,7971.056640625,104113800
2025-11-14,8375.0,8500.0,8375.0,8425.0,8018.6455078125,89815300
2025-11-17,8500.0,8575.0,8475.0,8575.0,8161.41064453125,129411100
2025-11-18,8550.0,8575.0,8400.0,8400.0,7994.85107421875,119377900
2025-11-19,8350.0,8500.0,8325.0,8475.0,8066.2333984375,114209700
2025-11-20,8475.0,8600.0,8400.0,8425.0,8018.6455078125,124087400
2025-11-21,8375.0,8425.0,8350.0,8400.0,7994.85107421875,103917100
2025-11-24,8400.0,8475.0,8350.0,8475.0,8066.2333984375,279590600
2025-11-25,8475.0,8500.0,8375.0,8500.0,8090.02783203125,98807700
2025-11-26,8400.0,8450.0,8375.0,8425.0,8018.6455078125,77094400
2025-11-27,8425.0,8450.0,8325.0,8325.0,7923.46826171875,71051300
2025-11-28,8325.0,8350.0,8275.0,8275.0,7875.8798828125,67559300
2025-12-01,8450.0,8450.0,8350.0,8400.0,7994.85107421875,76359200
2025-12-02,8350.0,8425.0,8350.0,8375.0,7971.056640625,97044000
2025-12-03,8350.0,8400.0,8300.0,8300.0,7951.8955078125,103550900
2025-12-04,8325.0,8350.0,8225.0,8225.0,7880.04150390625,71410400
2025-12-05,8200.0,8300.0,8200.0,8300.0,7951.8955078125,71162300
2025-12-08,8350.0,8350.0,8250.0,8300.0,7951.8955078125,61745200
2025-12-09,8300.0,8300.0,8100.0,8100.0,7760.28369140625,113057200
2025-12-10,8100.0,8175.0,8025.0,8075.0,7736.33251953125,143418300
2025-12-11,8175.0,8200.0,7900.0,8000.0,7664.47802734375,140766000
2025-12-12,7900.0,8000.0,7850.0,8000.0,7664.47802734375,100006800
2025-12-15,7925.0,8300.0,7925.0,8300.0,7951.8955078125,143105700
2025-12-16,8375.0,8375.0,8025.0,8075.0,7736.33251953125,122332000
2025-12-17,8000.0,8125.0,7975.0,8025.0,7688.42919921875,89802700
2025-12-18,8025.0,8250.0,8025.0,8175.0,7832.13818359375,88497200
2025-12-19,8200.0,8225.0,8050.0,8050.0,7712.380859375,131069800
2025-12-22,8050.0,8175.0,8025.0,8175.0,7832.13818359375,72424200
2025-12-23,8100.0,8125.0,7975.0,8025.0,7688.42919921875,85044100
2025-12-24,8025.0,8075.0,8000.0,8025.0,7688.42919921875,71260500
2025-12-29,8025.0,8025.0,7950.0,8025.0,7688.42919921875,78399400
2025-12-30,7950.0,8175.0,7950.0,8075.0,7736.33251953125,101995600
2026-01-02,8075.0,8075.0,8000.0,8025.0,7688.42919921875,68612400
2026-01-05,8000.0,8100.0,8000.0,8075.0,7736.33251953125,73408800
2026-01-06,8175.0,8175.0,8075.0,8175.0,7832.13818359375,97624300
2026-01-07,8125.0,8175.0,8025.0,8150.0,7808.18701171875,93152500
2026-01-08,8100.0,8150.0,8050.0,8050.0,7712.380859375,79823700
2026-01-09,8125.0,8175.0,8050.0,8125.0,7784.2353515625,79484700
2026-01-12,8075.0,8100.0,8000.0,8025.0,7688.42919921875,82935700
2026-01-13,8025.0,8075.0,8000.0,8075.0,7736.33251953125,80536300
2026-01-14,8025.0,8050.0,7950.0,8000.0,7664.47802734375,105724300
2026-01-15,8000.0,8175.0,7975.0,8075.0,7736.33251953125,151753100
2026-01-19,8075.0,8125.0,7975.0,8125.0,7784.2353515625,172100000
2026-01-20,8050.0,8125.0,8000.0,8000.0,7664.47802734375,82672500
2026-01-21,7925.0,7950.0,7700.0,7700.0,7377.06005859375,301825600
2026-01-22,7700.0,7775.0,7600.0,7650.0,7329.15673828125,268025900
2026-01-23,7600.0,7675.0,7550.0,7650.0,7329.15673828125,202878600
2026-01-26,7550.0,7675.0,7525.0,7650.0,7329.15673828125,213044100
2026-01-27,7575.0,7625.0,7500.0,7500.0,7185.44775390625,259830900
2026-01-28,7050.0,7400.0,6925.0,7025.0,6730.36962890625,1027287500
2026-01-29,6675.0,7275.0,6375.0,7200.0,6898.0302734375,1432993400
2026-01-30,7200.0,7600.0,7200.0,7400.0,7089.64208984375,528434900
2026-02-02,7600.0,7600.0,7325.0,7600.0,7281.25390625,326948700
2026-02-03,7600.0,7650.0,7375.0,7650.0,7329.15673828125,206015400
2026-02-04,7650.0,7825.0,7600.0,7800.0,7472.86572265625,193370800
2026-02-05,7800.0,7925.0,7800.0,7800.0,7472.86572265625,142332400
2026-02-06,7700.0,7775.0,7600.0,7675.0,7353.1083984375,176352600
2026-02-09,7675.0,7725.0,7450.0,7500.0,7185.44775390625,174758300
2026-02-10,7500.0,7550.0,7450.0,7475.0,7161.49658203125,127704200
2026-02-11,7475.0,7525.0,7400.0,7450.0,7137.544921875,213505000
2026-02-12,7450.0,7475.0,7300.0,7325.0,7017.78759765625,237465300
2026-02-13,7325.0,7325.0,7200.0,7200.0,6898.0302734375,356015300
2026-02-18,7225.0,7375.0,7225.0,7275.0,6969.884765625,125301200
2026-02-19,7325.0,7325.0,7175.0,7175.0,6874.07861328125,133463400
2026-02-20,7175.0,7250.0,7150.0,7225.0,6921.9814453125,122959500
2026-02-23,7300.0,7350.0,7275.0,7300.0,6993.8359375,100443800
2026-02-24,7275.0,7325.0,7225.0,7225.0,6921.9814453125,159225400
2026-02-25,7275.0,7375.0,7250.0,7325.0,7017.78759765625,133278000
2026-02-26,7350.0,7375.0,7200.0,7300.0,6993.8359375,127811900
2026-02-27,7200.0,7275.0,7175.0,7175.0,6874.07861328125,193104700
2026-03-02,7075.0,7150.0,6975.0,7025.0,6730.36962890625,156182700
2026-03-03,7075.0,7125.0,7025.0,7075.0,6778.2724609375,103031100
2026-03-04,7075.0,7075.0,6825.0,6875.0,6586.66064453125,216518700
2026-03-05,6975.0,7125.0,6950.0,7100.0,6802.22412109375,110256300
2026-03-06,7075.0,7100.0,7000.0,7000.0,6706.41796875,102725700
2026-03-09,6900.0,6950.0,6825.0,6875.0,6586.66064453125,150426400
2026-03-10,6950.0,7050.0,6925.0,6975.0,6682.466796875,129977900
2026-03-11,6975.0,7000.0,6825.0,6825.0,6538.7578125,91723400
2026-03-12,6825.0,7025.0,6825.0,6900.0,6610.6123046875,98787400
2026-03-13,6850.0,7025.0,6850.0,6875.0,6586.66064453125,107940600
2026-03-16,6850.0,6875.0,6700.0,6750.0,6466.9033203125,127757500
2026-03-17,6750.0,6825.0,6750.0,6775.0,6490.8544921875,160903900
2026-03-25,6675.0,6925.0,6675.0,6900.0,6610.6123046875,314281100
2026-03-26,6900.0,6975.0,6850.0,6875.0,6586.66064453125,145934900
2026-03-27,6775.0,6850.0,6700.0,6700.0,6419.0,283556500
2026-03-30,6400.0,6500.0,6350.0,6450.0,6450.0,242278100
2026-03-31,6450.0,6550.0,6450.0,6450.0,6450.0,150657800
2026-04-01,6550.0,6650.0,6500.0,6500.0,6500.0,132798100
2026-04-02,6550.0,6600.0,6500.0,6575.0,6575.0,72725400
2026-04-06,6600.0,6625.0,6450.0,6500.0,6500.0,57914600
2026-04-07,6500.0,6525.0,6450.0,6500.0,6500.0,65168700
2026-04-08,6650.0,6850.0,6625.0,6750.0,6750.0,163594000
2026-04-09,6775.0,6800.0,6450.0,6475.0,6475.0,182409800
2026-04-10,6525.0,6700.0,6475.0,6700.0,6700.0,167336100
2026-04-13,6650.0,6700.0,6575.0,6575.0,6575.0,81955300
2026-04-14,6675.0,6800.0,6675.0,6750.0,6750.0,105010900
2026-04-15,6775.0,6800.0,6550.0,6550.0,6550.0,104880600
2026-04-16,6575.0,6650.0,6500.0,6525.0,6525.0,122416100
2026-04-17,6500.0,6550.0,6425.0,6425.0,6425.0,156827000
2026-04-20,6450.0,6575.0,6425.0,6475.0,6475.0,137435700
2026-04-21,6475.0,6525.0,6425.0,6500.0,6500.0,112151900
2026-04-22,6475.0,6525.0,6450.0,6450.0,6450.0,95673700
2026-04-23,6450.0,6550.0,6425.0,6425.0,6425.0,95913400
2026-04-24,6400.0,6425.0,6050.0,6050.0,6050.0,435004800
2026-04-27,6025.0,6050.0,5950.0,5975.0,5975.0,273263100
2026-04-28,6025.0,6075.0,5950.0,6000.0,6000.0,174091200
2026-04-29,6000.0,6050.0,5950.0,5975.0,5975.0,176050900
2026-04-30,5950.0,5975.0,5800.0,5850.0,5850.0,303405400
2026-05-04,5800.0,5950.0,5800.0,5900.0,5900.0,207566700
2026-05-05,5900.0,6075.0,5875.0,5950.0,5950.0,179928300
2026-05-06,5950.0,6000.0,5900.0,5950.0,5950.0,90843100
2026-05-07,6000.0,6325.0,6000.0,6225.0,6225.0,238690900
2026-05-08,6225.0,6425.0,6175.0,6175.0,6175.0,201784700
2026-05-11,6225.0,6275.0,6100.0,6150.0,6150.0,126301300
2026-05-12,6125.0,6150.0,6050.0,6125.0,6125.0,107394400
2026-05-13,6125.0,6200.0,6025.0,6100.0,6100.0,147339600
2026-05-14,6100.0,6100.0,6100.0,6100.0,6100.0,0
2026-05-15,6100.0,6100.0,6100.0,6100.0,6100.0,0
2026-05-18,5950.0,6125.0,5900.0,6125.0,6125.0,208748400
2026-05-19,6050.0,6200.0,5950.0,5950.0,5950.0,184830100
2026-05-20,5975.0,6100.0,5875.0,5975.0,5975.0,195107100
2026-05-21,6000.0,6150.0,5925.0,5950.0,5950.0,210976100
2026-05-22,5900.0,5975.0,5825.0,5900.0,5900.0,288919700
2026-05-25,5950.0,6175.0,5925.0,6100.0,6100.0,263179200
2026-05-26,6050.0,6100.0,5950.0,5975.0,5975.0,225158700
2026-05-27,5975.0,5975.0,5975.0,5975.0,5975.0,0
2026-05-28,5975.0,5975.0,5975.0,5975.0,5975.0,0
2026-05-29,5750.0,5875.0,5700.0,5700.0,5700.0,1014028000
2026-06-02,5750.0,5875.0,5700.0,5825.0,5825.0,346305200
2026-06-03,5775.0,5825.0,5525.0,5525.0,5525.0,353332300
2026-06-04,5475.0,5600.0,5300.0,5425.0,5425.0,550059500
2026-06-05,5325.0,5375.0,5075.0,5075.0,5075.0,572612000
2026-06-08,4950.0,5050.0,4850.0,4850.0,4850.0,705093300
2026-06-09,4850.0,5150.0,4820.0,5150.0,5150.0,772898000
2026-06-10,5175.0,5700.0,5175.0,5650.0,5650.0,747366000
2026-06-11,5650.0,5875.0,5550.0,5825.0,5825.0,543032300
2026-06-12,6000.0,6100.0,5900.0,5925.0,5925.0,415872300
2026-06-15,6100.0,6425.0,6100.0,6275.0,6275.0,480395000
2026-06-17,6400.0,6550.0,6275.0,6275.0,6275.0,467494300
2026-06-18,6250.0,6275.0,6075.0,6075.0,6075.0,232489300
2026-06-19,6050.0,6300.0,6050.0,6300.0,6300.0,366595500
2026-06-22,6400.0,6400.0,6125.0,6225.0,6225.0,193401600
2026-06-23,6150.0,6200.0,6075.0,6125.0,6125.0,144561900
2026-06-24,6125.0,6200.0,5925.0,5925.0,5925.0,144928800
2026-06-25,5900.0,6175.0,5900.0,6025.0,6025.0,197935000
2026-06-26,6050.0,6175.0,6025.0,6175.0,6175.0,163378700
2026-06-29,6175.0,6200.0,5925.0,5925.0,5925.0,189886600
2026-06-30,5775.0,5825.0,5550.0,5550.0,5550.0,440738300
2026-07-01,5550.0,5750.0,5550.0,5600.0,5600.0,124123800
2026-07-02,5650.0,5875.0,5625.0,5800.0,5800.0,145119400
2026-07-03,5925.0,6150.0,5900.0,6050.0,6050.0,200465200
2026-07-06,6050.0,6175.0,5975.0,6125.0,6125.0,148684900
2026-07-07,6200.0,6300.0,6150.0,6300.0,6300.0,183472100
2026-07-08,6300.0,6325.0,6175.0,6175.0,6175.0,181123400
2026-07-09,6100.0,6200.0,6050.0,6200.0,6200.0,181155800
2026-07-10,6300.0,6300.0,6125.0,6175.0,6175.0,138050500
2026-07-13,6150.0,6250.0,6075.0,6225.0,6225.0,180061600
2026-07-14,6225.0,6250.0,6075.0,6125.0,6125.0,159868800
2026-07-15,6125.0,6200.0,6075.0,6125.0,6125.0,140824900
2026-07-16,6125.0,6225.0,6100.0,6225.0,6225.0,94235100
2026-07-17,6225.0,6500.0,6200.0,6475.0,6475.0,314564200
2026-07-20,6525.0,6625.0,6475.0,6475.0,6475.0,298183300
2026-07-21,6550.0,6550.0,6425.0,6525.0,6525.0,146064700
2026-07-22,6525.0,6550.0,6400.0,6500.0,6500.0,112178900
2026-07-23,6450.0,6475.0,6250.0,6275.0,6275.0,207037900
2026-07-24,6200.0,6300.0,6125.0,6275.0,6275.0,191428900
2026-07-27,6225.0,6325.0,6125.0,6300.0,6300.0,125142500
2026-07-28,6250.0,6300.0,6200.0,6225.0,6225.0,122920300
2026-07-29,6175.0,6300.0,6175.0,6275.0,6275.0,122379600
2026-07-30,6325.0,6450.0,6250.0,6450.0,6450.0,152663200
2026-07-31,6425.0,6450.0,6325.0,,,153174800
2026-08-12,6300.0,6350.0,6225.0,6350.0,6350.0,87177100
2026-08-13,6350.0,6375.0,6250.0,6375.0,6375.0,83208000
2026-08-14,6300.0,6350.0,6275.0,6350.0,6350.0,56953500
2026-08-18,6375.0,6450.0,6300.0,6300.0,6300.0,114945500
2026-08-19,6300.0,6425.0,6300.0,6300.0,6300.0,68105000
2026-08-20,6350.0,6400.0,6300.0,6400.0,6400.0,67749800
2026-08-21,6400.0,6475.0,6400.0,6450.0,6450.0,100684300
2026-08-24,6450.0,6450.0,6350.0,6400.0,6375.28955078125,81295600
2026-08-26,6450.0,6450.0,6350.0,6350.0,6325.482421875,86115900
2026-08-27,6350.0,6425.0,6325.0,6400.0,6375.28955078125,60556000
2026-08-28,6425.0,6525.0,6400.0,6475.0,6450.0,156445200
